targets	context
house dance, Spree, Sasha Waltz, brick, Berlin, Gothic, man, pumping station, dance, 2006, choreographer, performance	Sasha Waltz & Guests (pictured), named for its choreographer, is the house dance ensemble at Radialsystem V (Holzmarktstr, 33; radialsystem.de), a performance space that opened in 2006 in an old brick Gothic pumping station on the Spree River in Berlin.
mother, grounded	“We would have grounded him,” said his mother, who is 72.
social support, gossiping, long-term, self-esteem, female, undergrads, gossip, questionnaires	The second study, which looked into the long-term effects of gossiping on well-being, had 160 participants, mostly female undergrads, fill out questionnaires about their tendency to gossip, their self-esteem and their perceived social support.
illegal drugs, parents	When he was growing up, he said, his parents were very strict about illegal drugs.
hedonist, Alice Roosevelt Longworth	“IF you can’t say something good about someone, sit right here by me,” Alice Roosevelt Longworth, a self-proclaimed “hedonist,” used to say.
billionaire, home, owner, Moscow, Sunday, Nets, country, Mikhail D. Prokhorov	The Nets dropped into Moscow on Sunday for a one-day visit meant to raise their profile in the home country of their new owner, the Russian billionaire Mikhail D. Prokhorov.
social order, ideology	At the same time classicism as an ideology, with its emphasis on order, purity and exclusion, was being espoused by rising political figures intent on creating a new, lethally exclusionary social order.
	Visitors with a stake in art-as-uplift will find the story it tells mystifying, if not perverse.
free-associative, idea, Lil Wayne, self-consciousness, boredom	Lil Wayne’s least interesting mode is fixation. Restless and free-associative, he’s best when bouncing from one idea to the next, sticking around just long enough to master it, then splitting before boredom or self-consciousness sets in.
exhibition, Chaos, Italy, names, Guggenheim Museum, percentage, Germany, France, fall, exhibition, Art, Classicism	So it’s great that the Guggenheim Museum is giving us the opposite in its major fall exhibition, “Chaos and Classicism: Art in France, Italy, and Germany, 1918-1936.” With its high percentage of unfamiliar names, the exhibition won’t pull crowds.
multimedia, smartphone, software, downloading, restaurant, offline, e-mail, content, users	It will make it easier for users to view multimedia content without downloading extra software; check e-mail offline; or find a favorite restaurant or shop on a smartphone.
Web, code, Web pages, era, Hypertext Markup Language, promises, Internet browsing, years	The new Web code, the fifth version of Hypertext Markup Language used to create Web pages, is already in limited use, and it promises to usher in a new era of Internet browsing within the next few years.
